District,2020,2021,2022,2023,2024
Basque Country,10.1,11.4,9.7,8.5,7.4
Districts,,,,,
Añana,9.5,11.2,8.7,7.8,6.2
Arabako Errioxa / Rioja Alavesa,11.9,13.5,10.0,9.6,7.2
Arabako Kantaurialdea / Cantábrica Alavesa,10.8,12.0,9.5,8.4,8.0
Arabako Lautada / Llanada Alavesa,10.5,12.0,10.0,9.0,7.9
Arabako Mendialdea / Montaña Alavesa,7.0,8.5,7.0,5.8,6.0
Arratia Nerbioi / Arratia-Nervión,9.5,10.8,9.4,8.2,7.3
Bidasoa Behea  /  Bajo Bidasoa,10.7,11.8,10.0,8.8,7.0
Bilbo Handia / Gran Bilbao,11.6,12.9,11.5,9.9,8.8
Debabarrena / Bajo Deba,10.1,10.7,9.1,8.4,8.2
Debagoiena / Alto Deba,7.5,8.4,7.0,6.7,5.7
Donostialdea / Donostia-San Sebastián,8.2,9.5,7.8,7.1,5.6
Durangaldea / Duranguesado,9.0,10.1,8.4,6.9,5.7
Enkartazioak / Encartaciones,12.4,13.1,11.9,10.4,9.5
Gernika-Bermeo,11.0,11.6,9.6,8.2,6.9
Goierri,7.7,8.7,7.3,7.0,5.9
Gorbeialdea / Estribaciones del Gorbea,6.6,8.3,6.9,6.2,5.0
Markina-Ondarroa,9.9,11.1,8.2,7.0,5.6
Plentzia-Mungia,8.9,10.3,8.5,7.1,5.6
Tolosaldea / Tolosa,7.5,8.5,7.1,6.7,5.4
Urola-Kostaldea / Urola Costa,8.0,8.8,6.8,5.9,5.0
