Dataset,Indicator,Countries,Year,Flags,Value
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2015,,36.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2016,,36.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2017,,37.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2018,,38.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2019,,39.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2020,,40.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2021,(b) break in time series,41.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2022,,42.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2023,,43.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),EU27,2024,,44.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2015,,43.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2016,,44.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2017,(b) break in time series,45.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2018,,47.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2019,,47.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2020,,48.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2021,(b) break in time series,50.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2022,,51.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2023,,50.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Belgium,2024,,50.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2015,,31.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2016,,32.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2017,,33.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2018,,34.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2019,(b) break in time series,32.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2020,,33.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2021,(b) break in time series,33.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2022,,34.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2023,,35.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Bulgaria,2024,,40.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2015,,31.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2016,,32.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2017,,33.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2018,,33.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2019,,32.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2020,,33.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2021,(b) break in time series,34.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2022,,34.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2023,,33.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Czechia,2024,,33.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2015,,43.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2016,(b) break in time series,44.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2017,(b) break in time series,45.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2018,,45.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2019,,47.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2020,,47.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2021,(b) break in time series,49.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2022,,49.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2023,,49.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Denmark,2024,,51.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2015,,29.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2016,,30.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2017,,31.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2018,,32.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2019,,33.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2020,(b) break in time series,35.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2021,(b) break in time series,36.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2022,,36.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2023,,38.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Germany,2024,,40.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2015,,38.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2016,,39.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2017,,40.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2018,,41.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2019,,40.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2020,,40.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2021,(b) break in time series,43.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2022,,43.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2023,,43.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Estonia,2024,,42.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2015,,54.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2016,,54.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2017,(b) break in time series,54.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2018,,56.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2019,,55.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2020,,58.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2021,(b) break in time series,62.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2022,,63.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2023,,62.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Ireland,2024,,65.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2015,,40.1
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2016,,41.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2017,,42.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2018,,42.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2019,,42.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2020,,43.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2021,(b) break in time series,44.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2022,,45.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2023,,44.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Greece,2024,,44.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2015,,41.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2016,,41.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2017,,42.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2018,,44.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2019,,46.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2020,,47.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2021,(b) break in time series,48.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2022,,50.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2023,,52.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Spain,2024,,52.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2015,,44.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2016,,44.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2017,,44.5
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2018,,47.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2019,,48.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2020,,49.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2021,(b) break in time series,50.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2022,,50.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2023,,51.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),France,2024,,53.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2015,,30.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2016,,32.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2017,,32.7
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2018,,35.3
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2019,,35.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2020,,37.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2021,(b) break in time series,36.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2022,,36.0
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2023,,38.8
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Croatia,2024,,39.4
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Italy,2015,,25.2
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Italy,2016,,25.6
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Italy,2017,,26.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Italy,2018,(b) break in time series,27.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Italy,2019,,27.9
Key indicators on VET,25-34 year-olds with tertiary attainment (%),Italy,2020,,28.6
