Title,Role,Category,Element Name,Skill Type,Data Value
Computer Systems Analysts,Data Scientist,AI-Complementary,Reading Comprehension,Soft / Non-Technical,3.88
Computer Systems Analysts,Data Scientist,AI-Complementary,Active Listening,Soft / Non-Technical,3.75
Computer Systems Analysts,Data Scientist,AI-Complementary,Writing,Soft / Non-Technical,3.38
Computer Systems Analysts,Data Scientist,AI-Complementary,Speaking,Soft / Non-Technical,4.0
Computer Systems Analysts,Data Scientist,AI-Complementary,Mathematics,Technical,3.0
Computer Systems Analysts,Data Scientist,AI-Complementary,Science,Technical,2.25
Computer Systems Analysts,Data Scientist,AI-Complementary,Critical Thinking,Soft / Non-Technical,3.75
Computer Systems Analysts,Data Scientist,AI-Complementary,Active Learning,Soft / Non-Technical,3.62
Computer Systems Analysts,Data Scientist,AI-Complementary,Learning Strategies,Soft / Non-Technical,3.12
Computer Systems Analysts,Data Scientist,AI-Complementary,Monitoring,Soft / Non-Technical,3.38
Computer Systems Analysts,Data Scientist,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,3.12
Computer Systems Analysts,Data Scientist,AI-Complementary,Coordination,Soft / Non-Technical,3.12
Computer Systems Analysts,Data Scientist,AI-Complementary,Persuasion,Soft / Non-Technical,2.75
Computer Systems Analysts,Data Scientist,AI-Complementary,Negotiation,Soft / Non-Technical,2.5
Computer Systems Analysts,Data Scientist,AI-Complementary,Instructing,Soft / Non-Technical,2.88
Computer Systems Analysts,Data Scientist,AI-Complementary,Service Orientation,Soft / Non-Technical,3.0
Computer Systems Analysts,Data Scientist,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.38
Computer Systems Analysts,Data Scientist,AI-Complementary,Operations Analysis,Technical,3.0
Computer Systems Analysts,Data Scientist,AI-Complementary,Technology Design,Technical,2.88
Computer Systems Analysts,Data Scientist,AI-Complementary,Equipment Selection,Technical,2.25
Computer Systems Analysts,Data Scientist,AI-Complementary,Installation,Technical,1.62
Computer Systems Analysts,Data Scientist,AI-Complementary,Programming,Technical,3.25
Computer Systems Analysts,Data Scientist,AI-Complementary,Operations Monitoring,Technical,3.0
Computer Systems Analysts,Data Scientist,AI-Complementary,Operation and Control,Technical,2.5
Computer Systems Analysts,Data Scientist,AI-Complementary,Equipment Maintenance,Technical,1.88
Computer Systems Analysts,Data Scientist,AI-Complementary,Troubleshooting,Technical,3.12
Computer Systems Analysts,Data Scientist,AI-Complementary,Repairing,Technical,1.88
Computer Systems Analysts,Data Scientist,AI-Complementary,Quality Control Analysis,Technical,3.0
Computer Systems Analysts,Data Scientist,AI-Complementary,Judgment and Decision Making,Soft / Non-Technical,3.62
Computer Systems Analysts,Data Scientist,AI-Complementary,Systems Analysis,Technical,3.75
Computer Systems Analysts,Data Scientist,AI-Complementary,Systems Evaluation,Technical,3.75
Computer Systems Analysts,Data Scientist,AI-Complementary,Time Management,Soft / Non-Technical,3.12
Computer Systems Analysts,Data Scientist,AI-Complementary,Management of Financial Resources,Soft / Non-Technical,2.12
Computer Systems Analysts,Data Scientist,AI-Complementary,Management of Material Resources,Soft / Non-Technical,2.0
Computer Systems Analysts,Data Scientist,AI-Complementary,Management of Personnel Resources,Soft / Non-Technical,2.88
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Reading Comprehension,Soft / Non-Technical,4.0
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Active Listening,Soft / Non-Technical,3.75
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Writing,Soft / Non-Technical,3.5
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Speaking,Soft / Non-Technical,3.62
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Mathematics,Technical,2.25
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Science,Technical,1.88
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Critical Thinking,Soft / Non-Technical,3.88
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Active Learning,Soft / Non-Technical,3.25
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Learning Strategies,Soft / Non-Technical,2.88
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Monitoring,Soft / Non-Technical,3.38
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Social Perceptiveness,Soft / Non-Technical,2.75
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Coordination,Soft / Non-Technical,3.0
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Persuasion,Soft / Non-Technical,2.62
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Negotiation,Soft / Non-Technical,2.62
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Instructing,Soft / Non-Technical,2.88
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Service Orientation,Soft / Non-Technical,2.88
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Complex Problem Solving,Soft / Non-Technical,3.75
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Operations Analysis,Technical,2.5
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Technology Design,Technical,2.12
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Equipment Selection,Technical,1.75
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Installation,Technical,1.5
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Programming,Technical,2.62
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Operations Monitoring,Technical,3.0
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Operation and Control,Technical,1.75
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Equipment Maintenance,Technical,1.62
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Troubleshooting,Technical,2.12
Information Security Analysts,Cybersecurity Specialist,AI-Complementary,Repairing,Technical,1.62
