Name,2018,2019,2020,2021,2022,2023,2024,2025,Growth 2018 to 2025 (%)
Adaptability,100.0,104.0,108.2,112.5,117.0,125.8,135.2,145.3,45.3
Attention to Detail,100.0,101.5,103.0,104.6,106.1,107.2,108.3,109.4,9.4
Client-Facing,100.0,102.0,104.0,106.1,108.2,111.5,114.8,118.3,18.3
Communication,100.0,102.5,105.1,107.7,110.4,114.8,119.4,124.2,24.2
Complex Problem Solving,100.0,103.5,107.1,110.9,114.8,122.2,130.2,138.6,38.6
Creativity,100.0,103.0,106.1,109.3,112.6,118.2,124.1,130.3,30.3
Critical Thinking,100.0,103.5,107.1,110.9,114.8,121.6,128.9,136.7,36.7
Leadership,100.0,102.5,105.1,107.7,110.4,114.2,118.2,122.4,22.4
Teamwork / Collaboration,100.0,103.0,106.1,109.3,112.6,117.6,122.9,128.4,28.4
Time Management,100.0,102.0,104.0,106.1,108.2,110.9,113.7,116.6,16.6
