Name,2018,2019,2020,2021,2022,2023,2024,2025,Growth 2018 to 2025 (%)
Agile / Scrum,100.0,104.0,108.2,112.5,117.0,121.1,125.3,129.7,29.7
Cloud (AWS/Azure/GCP),100.0,110.0,121.0,133.1,146.4,166.9,190.3,216.9,116.9
Cybersecurity,100.0,108.0,116.6,126.0,136.0,152.4,170.7,191.1,91.1
Data Engineering,100.0,109.0,118.8,129.5,141.2,162.3,186.7,214.7,114.7
DevOps / Docker,100.0,107.0,114.5,122.5,131.1,143.5,157.2,172.1,72.1
Java / .NET,100.0,101.5,103.0,104.6,106.1,105.6,105.1,104.6,4.6
Machine Learning / AI,100.0,114.0,130.0,148.2,168.9,209.4,259.7,322.0,222.0
NLP / GenAI,100.0,109.0,118.8,129.5,141.2,204.7,296.8,430.3,330.3
Python,100.0,106.0,112.4,119.1,126.2,138.9,152.8,168.0,68.0
SQL / Databases,100.0,102.0,104.0,106.1,108.2,109.9,111.5,113.2,13.2
