source,extraction_timestamp,title,addressLocality,addressRegion,description,datePosted,offer_number,employmentType,collective,occupationalCategory,workday,age,employmentSituation,driverLicense,educationRequirements,experienceRequirements,contactinformation,numberPositions,participants
1,2024-04-14 10:34:56,VIGILANTE DE SEGURIDAD,Ribera Baja/Erribera Beitia,Araba/Álava,"persona con la TIP en vigor obligatorio, para la realización de funciones propias del puesto de vigilante de seguridad. Jornada completa a turnos.",12/04/2024,162024004047,LABORAL INDEFINIDO,,VIGILANTES DE SEGURIDAD,,,,,Conocimientos OTROS CONOCIMIENTOS Carnet: VIGILANTE DE SEGURIDAD (TIP),,,1,0
1,2024-04-14 10:34:56,LIMPIADOR/A,Vitoria-Gasteiz,Araba/Álava,Multinacional de residencia de ancianos necesita limpiador/a. Contrato temporal para sustituir vacaciones. Horario de mañana y tarde. Incorporación inmediata. IMPRESCINDIBLE: Carnet de conducir y vehículo,12/04/2024,162024004046,LABORAL TEMPORAL,,PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL,,,,"B-AUTOMOVIL <= 3.500 KG, ASIENTOS <=9, CON REMOLQUE <= 750 KG, Y TRICICLOS Y CUATRICICLOS DE MOTOR",,,,3,5
1,2024-04-14 10:34:56,PEON,Arama,Gipuzkoa,Se necesita peón. Tareas: Limpieza de vías públicas. Trabajos de pintado. Trabajos de desbroce. Organización del almacén municipal. Requisitos imprescindibles: -Ser mayor de 16 años y menor de 30 años. -Estar empadronado en el Goierri. -La entidad local deberá cumplir los criterios de la primera tipología establecidos en la convocatoria de ayudas a la contratación de jóvenes FSE Plus 2024. -Experiencia en el uso de desbrozadora y trabajos similares. Se tendrá en cuenta residencia y empadronamiento en Arama. Duración del contrato: 8 meses.,12/04/2024,162024004045,LABORAL TEMPORAL,,"PEONES DE OBRAS PUBLICAS, EN GENERAL",Nº de puestos: 1,Hasta 29 años,DESEMPLEADO-A,,Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: Graduado escolar,,,1,1
1,2024-04-14 10:34:56,MONITORES-COLONIAS ABIERTAS 2024 VERANO,Elduain,Gipuzkoa,Monitores para colonias abiertas de verano 2024. REQUISITOS: -Título de monitor -Euskara perfil 3 o equivalente -Estar de alta en Lanbide DURACIÓN CONTRATO: 1 mes HORARIO: 8:30-13:30 SALARIO MENSUAL APROX: 1.700¿ INCORPORACIÖN: 25 de junio,12/04/2024,162024004044,LABORAL TEMPORAL,,MONITORES DE EDUCACIÓN Y TIEMPO LIBRE,,,DESEMPLEADO-A,,Conocimientos OTROS CONOCIMIENTOS Carnet: MONITOR DE TIEMPO LIBRE,,,3,7
1,2024-04-14 10:34:56,PEÓN,Altzaga,Gipuzkoa,Se necesita peón. Tareas: Limpieza de vías públicas. Trabajos de pintado. Trabajos de desbroce. Organización del almacén municipal. Requisitos imprescindibles: . Ser mayor de 16 años y menor de 30 años.  Estar empadronado en el Goierri. . La entidad local deberá cumplir los criterios de la primera tipología establecidos en la convocatoria de ayudas a la contratación de jóvenes FSE Plus 2024. . Experiencia en el uso de desbrozadora y trabajos similares. Se tendrá en cuenta residencia y empadronamiento en Altzaga. Euskera: capacidad comunicativa mínima. Duración del contrato: 8 meses.,12/04/2024,162024004043,LABORAL TEMPORAL,,"PEONES DE OBRAS PUBLICAS, EN GENERAL",Nº de puestos: 1,Hasta 29 años,DESEMPLEADO-A,,Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: Graduado escolar,,,1,0
1,2024-04-14 10:34:56,MECATRONICO - MANTENIMIENTO INDUSTRIAL EMPRESA DE ARRASATE,Arrasate/Mondragon,Gipuzkoa,"MECATRONICO MANTENIMIENTO INDUSTRIAL EMPRESA DE ARRASATE, OPERARIO DE MANTENIMIENTO INDUSTRIAL. REQUISITOS IMPRESCINDIBLES CICLO FORMATIVO DE GRADO SUPERIOR DE MECATRONICA, SE VALORARA CONOCIMIENTOS DE SOLDADURA, VIVIR EN ARRASATE O ALREDEDORES. SE OFRECE CONTRATO INDEFINIDO A JORNADA COMPLETA, INCORPORACIÓN INMEDIATA.",12/04/2024,162024004042,LABORAL INDEFINIDO,,ELECTROMECÁNICOS DE MANTENIMIENTO INDUSTRIAL (MANTENIMIENTO Y REPARACIÓN GENERAL),,,,,"Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: Técnico Superior, enseñanzas de grado superior de FP",,,2,0
1,2024-04-14 10:34:56,GUÍA TURÍSTICO,Bergara,Gipuzkoa,"Se necesita una persona para realizar las tareas de recepción y guía de la oficina de turismo. IMPRESCINDIBLE: Alto nivel de euskera y castellano. Requisitos a valorar: Tener estudios de Historia, Bellas artes y Turismo. Dominio de lenguas extranjeras, especialmente inglés. Tipo de contrato: indefinido. Fecha prevista de inicio: 01/05/2024.",12/04/2024,162024004041,LABORAL INDEFINIDO,,GUÍAS DE TURISMO,,,,,Conocimientos FORMACIÓN REGLADA - CERTIFICADOS DE PROFESIONALIDAD Se debe estar en posesión de alguno de los siguientes títulos o certificados: DIPLOMATURA en turismo GRADO en Turismo,,,1,7
1,2024-04-14 10:34:56,ADMINISTRATIVO/A IMPORTACIÓN,Oiartzun,Gipuzkoa,"Análisis de tráficos de importación, recepción de documentación, centralizar información, recepción de facturas, contacto con transitarios etc. Imprescindible experiencia en comercio internacional y nivel de inglés alto. Valorable formación específica en comercio internacional. Se ofrece contrato por sustitución de duración indeterminada, salario de 27.000 euros brutos/años e incorporación inmediata",12/04/2024,162024004038,LABORAL TEMPORAL,,"EMPLEADOS ADMINISTRATIVOS DE LOS SERVICIOS DE TRANSPORTE, EN GENERAL",,,,,Idiomas requeridos INGLES Lectura SUPERIOR Escritura SUPERIOR Hablado SUPERIOR,,,1,9
1,2024-04-14 10:34:56,LIMPIADOR/A,Donostia/San Sebastián,Gipuzkoa,"Se necesita limpiador/a en Donostia-San Sebastián para limpieza de portales, garaje. SE REQUIERE: Experiencia en limpieza. SE VALORARÁ: Vehículo propio. SE OFRECE: contrato de sustitución maternidad, 15 horas semanales. Salario bruto aproximado: 650-700 euros. Fecha prevista de incorporación: 22/04/2024.",12/04/2024,162024004037,LABORAL TEMPORAL,,PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL,,,,,Experiencia mínima: 4 años,4 años,,1,17
1,2024-04-14 10:34:56,DEPENDIENTES/AS HELADERÍA,Donostia/San Sebastián,Gipuzkoa,"SE PRECISA: Dependientes/as para heladería. Persona seria, comprometida y puntual.  Disponibilidad para trabajar en turnos de tarde-noche hasta la 12:30h de la noche, incluidos fines de semana. Temporada de verano: hasta las 2:30h de la mañana Disponibilidad para trabajar durante todo el año.  REQUISITOS IMPRESCINDIBLES: Nivel medio de ingles  VALORABLE: Conocimientos de diferentes idiomas. Residencia en Donostialdea o carnet de conducir.  SE OFRECE: Contrato indefinido. De lunes a domingo (40 h semanales) Salario mensual bruto aproximado: 1600 euros.",12/04/2024,162024004036,LABORAL INDEFINIDO,,"DEPENDIENTES DE COMERCIO, EN GENERAL",,,,,Idiomas requeridos INGLES Lectura MEDIO Escritura MEDIO Hablado MEDIO,,,4,12
